,평점,본문
22,5,좋은 제품 다섯살 쯤부터 쓰기 시작해서 초등생인 지금까지 계속 쓰고 있습니다향이 좋기도 하고 익숙해서 아이가 거부감이 없어요 선팩트를 사줄까 하다가 그냥 튜브형을 샀는데초중생좋은 제품 다섯살 쯤부터 쓰기 시작해서 초등생인 지금까지 계속 쓰고 있습니다향이 좋기도 하고 익숙해서 아이가 거부감이 없어요 선팩트를 사줄까 하다가 그냥 튜브형을 샀는데초중생들이 요즘 팩트 들고다니며 바르는게 유행이어서아예 선팩트 제품으로 사줘도 좋겠단 생각이 들더라구요초중생 취향에 맞는 선팩트 케이스 디자인도 추가로나왔으면 좋겠습니다
23,5,자외선차단 확실히 최고여름이면 항상 쓰는 제품입니다 다른 제품에비해서 자외선 차단이 확실히 잘 되는것 같아요 다른 제품 선물 받은 것 쓰다가 아이들이 점점 까맣게 그을려서 다시 샀습니다 가격도 싸고 자외선 차단도 잘 되고 땀에도 잘 지워지지 않아요 대신 잘  씻어주셔야해요
24,5,늘 사용하는거예요끈적임도없고 촉촉하니 아이도 저도 만족하네요늘 사용하는거예요끈적임도없고 촉촉하니 아이도 저도 만족하네요
25,4,적당한 가격에 구매한 것 같아요 배송이 빠르게 오지는 않았는데 그냥 느리진 않고 적당하다 생각할 정도의 속도였어요왜인지는 모르겠는데 3개 구매했는데 하나는 뚜껑이 열려서 배송됐더적당한 가격에 구매한 것 같아요 배송이 빠르게 오지는 않았는데 그냥 느리진 않고 적당하다 생각할 정도의 속도였어요왜인지는 모르겠는데 3개 구매했는데 하나는 뚜껑이 열려서 배송됐더라구요은박 마개?가 있어서 문제는 없었지만 뭔가 찝찝한 느낌이였어여ㅋㅋㅋ 그리고 이거 배송오고나서 얼마 안 있다가 11로 세일하는거 발견해서 세상속상ㅠㅠ 그래도 올해 신상으로 와서 기분은 좋아요올해여름 선크림으로 잘 쓸 것 같아요!
26,5,다른 선크림 바르면 눈이 따가워서 매번 이것만 시켜요 제일 괜찮은거같아요 배송도 빨랐구요! 감사합니다다른 선크림 바르면 눈이 따가워서 매번 이것만 시켜요 제일 괜찮은거같아요 배송도 빨랐구요! 감사합니다
27,5,썬크림은 그린핑거만 사용해요 만족합니다 다른 화장품은 전혀 사용하지 않는데 썬크림은 꼭 바르거든요다른거 바르면 막 끈적이고 백탁 현상 생기는데 그린핑거 썬크림은그런게 전썬크림은 그린핑거만 사용해요 만족합니다 다른 화장품은 전혀 사용하지 않는데 썬크림은 꼭 바르거든요다른거 바르면 막 끈적이고 백탁 현상 생기는데 그린핑거 썬크림은그런게 전혀 없어요 최고입니다 끈적임도 없고 백탁도 없고 내 피부에 딱 맞음!태양을 피하고 싶으신분! 그린핑거로 해결하세욧!!
28,5,배송2일 걸렸어요다른 건 좋은데유통기간이22년도라 아쉽네요배송2일 걸렸어요다른 건 좋은데유통기간이22년도라 아쉽네요
29,5,날씨따뜻해서 구매해요날씨따뜻해서 구매해요
30,5,마스크 쓰고 다니는 아이 선크림 안발랐더니 얼굴에 마스크자국이 생겼네요 선크림 열심히 바르라고샀어요마스크 쓰고 다니는 아이 선크림 안발랐더니 얼굴에 마스크자국이 생겼네요 선크림 열심히 바르라고샀어요
31,4,외출때 바릅니다 좋아요외출때 바릅니다 좋아요
32,5,뽀송하니 딱좋습니다 내가찾던 타입이네요 재구매 희망합니다뽀송하니 딱좋습니다 내가찾던 타입이네요 재구매 희망합니다
33,5,맨날 쓰는 거라 믿고 시켰어요맨날 쓰는 거라 믿고 시켰어요
34,5,항상 이거 사용합니다 좋아요항상 이거 사용합니다 좋아요
35,5,두번째 구매입니다0 성인이지만 유아용선크림을 써야할정도로 민감성피부인데 트러블없이 잘 쓰고있어 두번째 구매를 했습니다 로드샵부터 백화점 브랜드 선크림을 써봤지만 너무 무겁고두번째 구매입니다0 성인이지만 유아용선크림을 써야할정도로 민감성피부인데 트러블없이 잘 쓰고있어 두번째 구매를 했습니다 로드샵부터 백화점 브랜드 선크림을 써봤지만 너무 무겁고 민감해서 그런지 잘 맞지않더라고요 더 좋은 선크림을 찾지 않는이상 계속 구매할 예정입니다
36,4,순해서 좋아요 15개월된 아가인데 피부가 약해서 뭘쓰기가 부담스러웠는데 전용폼없이 물에도 씻을 수 있어서 좋아요차단지수도 적당한것같아요저도 너무 높은거 쓰면 가끔 피부자극이 순해서 좋아요 15개월된 아가인데 피부가 약해서 뭘쓰기가 부담스러웠는데 전용폼없이 물에도 씻을 수 있어서 좋아요차단지수도 적당한것같아요저도 너무 높은거 쓰면 가끔 피부자극이 강하다고 생각했는데약한 아이피부에 딱인것같아요대신 백탁현상이 있고 약하구 순한만큼 자주 발라줘야겠어요
37,5,빨리받았어요 조아여빨리받았어요 조아여
38,4,야외나갈 때 가볍게 나가기 좋습니다 물로도 씻을 수 있으면 더 편할 것 같습니다야외나갈 때 가볍게 나가기 좋습니다 물로도 씻을 수 있으면 더 편할 것 같습니다
39,5,잘받았습니다전에 쓰던 썬크림은 바르면 얼굴이 하얗게 되고뻣뻣해서 쓰다 말다 하다 넘 오래되서 남았지만 버렸구요 아이와 같이 쓰려고 이제품 주문했는데배송이 엄청 빠르네요손등에 살짝 발랐는데 향도 좋고 끈적임도 없고 잘 쓰게 될거 같아요보내주신 샘플도 잘쓸께요
40,4,늘 주문하는 제품이예요늘 주문하는 제품이예요
41,4,마트 가격의 절반 선크림은 이것만 쓰는데 아주 촉촉한 것은 아니지만 자외선 차단은 잘 되는 것 같아요 저도 기초 화장 후에 바르고 다니기도 해요 피부가 민감한데 이건 괜찮아마트 가격의 절반 선크림은 이것만 쓰는데 아주 촉촉한 것은 아니지만 자외선 차단은 잘 되는 것 같아요 저도 기초 화장 후에 바르고 다니기도 해요 피부가 민감한데 이건 괜찮아요 마트가서 가격 보고 인터넷 구매 했네요 매년 펀하게 사용해요
42,5,제가쓰려고 샀어요 순해요제가쓰려고 샀어요 순해요
43,4,항상 쓰던거라 크림 로션은 다른 제품 쓰는데 선크림은 요게 좋다고 엄마들이 그러더라구요 작년에 이어 올해도 요골로ㅎㅎ 근데 배송 참늦게 발송해주셨고 택배사에서 무려 4일을항상 쓰던거라 크림 로션은 다른 제품 쓰는데 선크림은 요게 좋다고 엄마들이 그러더라구요 작년에 이어 올해도 요골로ㅎㅎ 근데 배송 참늦게 발송해주셨고 택배사에서 무려 4일을 잡고 있으셔서 주문하고 일주일 만에 받은듯요 그린핑거를 직구한 느낌적인 느낌은 몰까요ㅋㅋ
44,5,이거 없으면 못살아요 저는 어른인데 이거써요 ㅋㅋㅋ 순하고 좋아요이거 없으면 못살아요 저는 어른인데 이거써요 ㅋㅋㅋ 순하고 좋아요
45,5,항상쓰던 제품이라서 구매했어요일반선크림에서 나는 화장품 냄새가 안나서 좋아요항상쓰던 제품이라서 구매했어요일반선크림에서 나는 화장품 냄새가 안나서 좋아요
46,5,좋아요 이것만써요 ㅎㅎㅎ좋아요 이것만써요 ㅎㅎㅎ
47,4,저렴하게 과대포장없이 잘 받았어요! 조금 아쉬운 점은 배송이 약간 느렸다는건데 급하게 주문한건 아니어서 괜찮았어요!저렴하게 과대포장없이 잘 받았어요! 조금 아쉬운 점은 배송이 약간 느렸다는건데 급하게 주문한건 아니어서 괜찮았어요!
48,5,진짜 순하고 끈적임 없어서 저는 29살인데도 이거쓰고잇어요 이거 없음 안대욤진짜 순하고 끈적임 없어서 저는 29살인데도 이거쓰고잇어요 이거 없음 안대욤
49,5,좋아요이제 곧 햇살이 따사해질것 같아서 주문했어요제품은 늘 쓰는거라고 가격이 여기가  저렴해서 구입합니다
50,3,저렴해서 샀는데 유통기한이 내년 8월까지네요저렴해서 샀는데 유통기한이 내년 8월까지네요
51,5,날이 따뜻해져서 구매했는데 맘에 듭니다날이 따뜻해져서 구매했는데 맘에 듭니다
52,5,냄새도 좋구 하얗게 발려서 좋아요냄새도 좋구 하얗게 발려서 좋아요
53,5,배송도 빠르고 아주 만족합니다배송도 빠르고 아주 만족합니다
54,4,20대지만 민김성피부라 그린핑거 쓰고있는데 사과향?같은 향이 나서 좋아요 백탁현상은 사알짝 있는데 두드려주면 흡수는 잘 됩니다 배송은 적당하구요 하나 들어갈 정도의 박스20대지만 민김성피부라 그린핑거 쓰고있는데 사과향?같은 향이 나서 좋아요 백탁현상은 사알짝 있는데 두드려주면 흡수는 잘 됩니다 배송은 적당하구요 하나 들어갈 정도의 박스에 담아오네요
55,5,넘넘좋아요 굿굿!!넘넘좋아요 굿굿!!
56,5,좋아요 그린핑거샵에서 구입한 수딩젤 선크림 선팩트 두루두루 사용하기 편해 작년에 구입하고 다시 재 구입합니다 우선 끈점이 없고 피부를 생각해 주는 점이 좋아요 아이들에게 큰좋아요 그린핑거샵에서 구입한 수딩젤 선크림 선팩트 두루두루 사용하기 편해 작년에 구입하고 다시 재 구입합니다 우선 끈점이 없고 피부를 생각해 주는 점이 좋아요 아이들에게 큰 자극도 없고 자외선을 이기게 해 줘서 만족 또 만족합니다
57,5,너무너무 좋아요 야외 필수 제품 선크림 트러블 조차 없이 순한 느낌으로 아이들에게 잘 사용할 수 있는 제품을 착한 네이버 쇼핑에서 구입할 수 있어 대 만족 스럽습니다 빠른 배송과너무너무 좋아요 야외 필수 제품 선크림 트러블 조차 없이 순한 느낌으로 아이들에게 잘 사용할 수 있는 제품을 착한 네이버 쇼핑에서 구입할 수 있어 대 만족 스럽습니다 빠른 배송과 증정 품의 기쁨까지 두배의 만족을 주는 상품입니다
58,5,좋습니다 좋아요 만족합니다좋습니다 좋아요 만족합니다
59,5,배송비 더해도 오프라인보다 싸고 빠르고 터진데 없이 잘왔습니다  생각보다 상자가 컸어요배송비 더해도 오프라인보다 싸고 빠르고 터진데 없이 잘왔습니다  생각보다 상자가 컸어요
60,5,우리가족17년도때부터 그린핑거쓰는데 완전 대만족우리가족17년도때부터 그린핑거쓰는데 완전 대만족
61,5,잘 받았습니다 편하게 잘 바를 것 같아요잘 받았습니다 편하게 잘 바를 것 같아요
62,5,항상 이용하는 제품입니다 너무 좋아요항상 이용하는 제품입니다 너무 좋아요
63,5,항상 주문하는 상품입니다항상 주문하는 상품입니다
64,3,가격대비 나쁘지 않습니다가격대비 나쁘지 않습니다
65,5,좋아요배송도 빨르고좋아요배송도 빨르고
66,5,빠르게 잘 도착했어요빠르게 잘 도착했어요
67,5,좋아서 계속 사용 중!좋아서 계속 사용 중!
68,5,좋아요배송모두 만족
69,4,데일리 선크림처음 쓰게된 이후로는 10통이 넘게 쓴 거의 이것만 쓰는 듯 싶습니다 쓰던대로 잘 쓸게요
70,5,좋아요좋은데 이상하게 전에 쓰던거랑 사용감이 다르네요 포뮬라가 바뀐거겠죠?
71,5,이번 휴가때 쓸려고 샀어요 유통기한 넉넉해서 좋습니다이번 휴가때 쓸려고 샀어요 유통기한 넉넉해서 좋습니다2개의 포토리뷰2개의 포토리뷰
72,5,유명해서사봤어요어린이집 준비물로샀어요 유명하드러구요 좋을듯해요
73,5,항상 잘 쓰고 있습니더 말이 필요업서요항상 잘 쓰고 있습니더 말이 필요업서요
74,4,항상 쓰는제품순합니다피부가 약해서 선크림 바르면 눈따갑고한데 이 제품은 덜해서 좋아요
75,5,늘 이것만 쓰네요 초1고1까지 씁니다늘 이것만 쓰네요초1고1까지 씁니다
76,5,좋아요 배송도빨라요좋아요 배송도빨라요
77,5,몇년째 이것만 써요몇년째 이것만 써요
78,5,늘쓰는 제품이예요늘쓰는 제품이예요
79,4,바를때 따갑지 않고 발림이 부드러워요다만 클린징에 신경써줘야 되는것같아요물로만 씻기고 다음날 보니 약간 오돌토돌한 것들이 올라오네요바를때 따갑지 않고 발림이 부드러워요다만 클린징에 신경써줘야 되는것같아요물로만 씻기고 다음날 보니 약간 오돌토돌한 것들이 올라오네요
80,5,만족합니다 감사합니다만족합니다 감사합니다
81,4,그린핑거 로션쓰고 있는데 선크림도 같이 구매했어요그린핑거 로션쓰고 있는데 선크림도 같이 구매했어요
82,3,사용하고 있는 그린핑거 로션과 함께 사용하려구요사용하고 있는 그린핑거 로션과 함께 사용하려구요
83,5,잘쓰겠습니다딸과 아들이 잘 쓰고 있어요좋아요 
84,5,아이가 챙겨 바릅니다아이가 챙겨 바릅니다
