,평점,본문
21,5,일단 마구 하얗게 백탁현상이 일어나는건 아니네요바르면 이쁘게 환해지는 느낌이랄까?발라줄때마다 딸램이 엄마같이 화장하는거라고 무척 좋아합니다 그 모습에 마냥 기분 일단 마구 하얗게 백탁현상이 일어나는건 아니네요바르면 이쁘게 환해지는 느낌이랄까?발라줄때마다 딸램이 엄마같이 화장하는거라고 무척 좋아합니다 그 모습에 마냥 기분 좋아지는 그런 느낌?ㅎㅎㅎ배송할때도 포장 영상까지 보내주시니 더 신뢰가 가는ㅎㅎㅎ 그게 뭐라고 기분이 좋아지더군요만족합니다내년에도 또 사러올께요아니 다쓰면 또 올께요
22,5,4살 딸아이가 너무 좋아해요 하하택배받고 어제 하루종일 집에서 톡톡 바르고있네요ㅎㅎㅎ엄마가 이거 사줘서 너무 기쁘고 행복하대요ㅋㅋ 눈시림도 없는거같고 차단 지수도 맘에 들고 무엇보4살 딸아이가 너무 좋아해요 하하택배받고 어제 하루종일 집에서 톡톡 바르고있네요ㅎㅎㅎ엄마가 이거 사줘서 너무 기쁘고 행복하대요ㅋㅋ 눈시림도 없는거같고 차단 지수도 맘에 들고 무엇보다 애가 너무 좋아하니 아주 만족합니다
23,5,봄볕에 자외선에 아이얼굴 상할까 구매했어요피부가 예민한 아이라 로션한번 잘못발라도 트러블이 생기는데 선쿠션오고 나흘째 사용중인데 아무 이상없이 잘 쓰고있네요 아침 학교가기전 톡톡봄볕에 자외선에 아이얼굴 상할까 구매했어요피부가 예민한 아이라 로션한번 잘못발라도 트러블이 생기는데 선쿠션오고 나흘째 사용중인데 아무 이상없이 잘 쓰고있네요 아침 학교가기전 톡톡 두드려주는 재미에 잊지도않고 사용중입니다
24,5,조카 사줬는데 너무 좋아하네요조카 사줬는데 너무 좋아하네요2개의 포토리뷰2개의 포토리뷰
25,5,양이 좀 적은거 같아 아쉽네요성분이 좋아  딸아이 썬쿠션으로 준비했답니다 좋은가격 감사합니다양이 좀 적은거 같아 아쉽네요성분이 좋아  딸아이 썬쿠션으로 준비했답니다 좋은가격 감사합니다
26,5,예전에도 몽디에스 제품 사용하다 다시 쓰네요아이가 좋아해요예전에도 몽디에스 제품 사용하다 다시 쓰네요아이가 좋아해요
27,3,아토피가 재발한 고딩 아들 주려고 샀는데잘쓸께요아토피가 재발한 고딩 아들 주려고 샀는데잘쓸께요
28,4,순한듯 괜찮습니다아이가 아닌 저를 위해 샀어요ㅎ순한듯 괜찮습니다아이가 아닌 저를 위해 샀어요ㅎ
29,4,여름이 거의지나가지만 가을볕이 쎄서 구매했네요 11이라 지인도 나눠주고요 유통기한에 내년 초여름까지라 내년 한여름엔 사용하기 걸려서 ㅋ 발림성 좋아요 내년에 재구매 해야겠어요 여름이 거의지나가지만 가을볕이 쎄서 구매했네요 11이라 지인도 나눠주고요 유통기한에 내년 초여름까지라 내년 한여름엔 사용하기 걸려서 ㅋ 발림성 좋아요 내년에 재구매 해야겠어요 ㅋㅋ2개의 포토리뷰2개의 포토리뷰
30,5,아가 선큐션 많이 써봤는데요 촉촉함은 조금 덜 해요 바르고 나면 얼굴이 반짝 거릴정도로 촉촉하진 않지만 휴대하기 편해서 가방에 쏙 넣어다니며 자주자주 발아주고 있어요아가 선큐션 많이 써봤는데요 촉촉함은 조금 덜 해요 바르고 나면 얼굴이 반짝 거릴정도로 촉촉하진 않지만 휴대하기 편해서 가방에 쏙 넣어다니며 자주자주 발아주고 있어요2개의 포토리뷰2개의 포토리뷰
31,4,아기들도사용한다고해서구매했는데 마크해요 ㅠㅠ아기들도사용한다고해서구매했는데 마크해요 ㅠㅠ
