,평점,본문
41,5,프리메라베이비쿠션15g본품좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요 좋아요좋아요좋아요
42,5,언니가 조카들 발라주는것 보고 따라서 샀어요선스틱보다 바르기 좋구요펌핑때 많이 씩 안 나와서 좋아요바르기도 너무 간편하구요물로 씻긴다니 더 좋네요언니가 조카들 발라주는것 보고 따라서 샀어요선스틱보다 바르기 좋구요펌핑때 많이 씩 안 나와서 좋아요바르기도 너무 간편하구요물로 씻긴다니 더 좋네요2개의 포토리뷰2개의 포토리뷰
43,5,자꾸 제 팩트에 관심을 보이는 조카한테 선물해주었어요 ㅎㅎ자꾸 제 팩트에 관심을 보이는 조카한테 선물해주었어요 ㅎㅎ
44,5,조카 친구들 선물용으로 구매했어요좋은 제품 저렴하게 구매해서 너무 좋으네요감사합니다조카 친구들 선물용으로 구매했어요좋은 제품 저렴하게 구매해서 너무 좋으네요감사합니다
45,5,쓰던건데 여기가제일싸네요 좋아요쓰던건데 여기가제일싸네요 좋아요
46,5,사용하기 편하고 아이가 좋아해요사용하기 편하고 아이가 좋아해요
47,5,아이가좋아해요ㅡ 만족합니다아이가좋아해요ㅡ 만족합니다
48,5,조아요순하고잘ㅈ힛겨요조아요순하고잘ㅈ힛겨요
49,5,마스크로 인한 트러블이 개선되었습니다마스크로 인한 트러블이 개선되었습니다
50,4,배송도 빠르고 가격도 좋네요배송도 빠르고 가격도 좋네요
51,5,끈적이지않고 사용하기좋아요끈적이지않고 사용하기좋아요
52,5,어제 시켰는데 오늘 받았어요 가격도 여기가 제일 싸고 유효기간도 2023년으로 넉넉해요제품이야뭐 믿쓰프리메라니 아이가 좋아할거같아요 어제 시켰는데 오늘 받았어요 가격도 여기가 제일 싸고 유효기간도 2023년으로 넉넉해요제품이야뭐 믿쓰프리메라니 아이가 좋아할거같아요 
53,4,바르고 나면 끈적임과 백탁편상이 있으나 보통 선제품이 그러니 그냥 사용중입니다바르고 나면 끈적임과 백탁편상이 있으나 보통 선제품이 그러니 그냥 사용중입니다
54,5,애기가 좋아해요 너무 깜찍해요애기가 좋아해요 너무 깜찍해요
55,5,배송 짱 빠르고포장 상태 짱 좋고저렴하게 구입 감사합니당배송 짱 빠르고포장 상태 짱 좋고저렴하게 구입 감사합니당
56,5,아이가 기분좋게사용하고 있습니다 잘쓰고있어요아이가 기분좋게사용하고 있습니다 잘쓰고있어요
57,5,아이가 좋아합니다톤업도 되고 좋은데 세안은 썬크림 전용 세안제로 해야되네요아이가 좋아합니다톤업도 되고 좋은데 세안은 썬크림 전용 세안제로 해야되네요
58,5,발림성이 너무 좋아요!!선물받아서 쓰다보니 좋아서 재재구매해서 쓰고 있습니다!!발림성이 너무 좋아요!!선물받아서 쓰다보니 좋아서 재재구매해서 쓰고 있습니다!!
59,3,아이들이 재밋어하고 케이스가 귀엽네요아이들이 재밋어하고 케이스가 귀엽네요
60,5,좋아요 케이스도 너무 예쁘네요좋아요 케이스도 너무 예쁘네요
61,5,아이가 좋아해서 재구매입니다아이가 좋아해서 재구매입니다
62,5,항상 쓰는 제품이예요항상 쓰는 제품이예요
63,4,딸아이 잘 쓰고 있어요딸아이 잘 쓰고 있어요
64,4,아이가 고른제품코로나로 외출은 자주못하지만만족한다하내여아이가 고른제품코로나로 외출은 자주못하지만만족한다하내여
65,5,아이가 쓰던제품이었는데 싸게 샀네요아이가 쓰던제품이었는데 싸게 샀네요
66,5,아이가 늘 쓰던거라 순하고 좋아요아이가 늘 쓰던거라 순하고 좋아요
67,4,좋아요 케이스도 너무 귀엽네요좋아요 케이스도 너무 귀엽네요
68,5,하얘지긴해도 순하고 좋아요하얘지긴해도 순하고 좋아요
69,5,늘쓰던거에요좋아요늘쓰던거에요좋아요
70,5,뽁뽁이로 포장되어져 와서 너무 좋네요  아직 쓰기 전이지만 올여름 잘 쓸께요!뽁뽁이로 포장되어져 와서 너무 좋네요  아직 쓰기 전이지만 올여름 잘 쓸께요!
71,5,휴가때 쓰려고 주문했는데 코로나땜시 이번휴가는 패스지만 아이가 그냥 장난감처럼  잘 가지고 놀아요휴가때 쓰려고 주문했는데 코로나땜시 이번휴가는 패스지만 아이가 그냥 장난감처럼  잘 가지고 놀아요
72,3,백탁현상 있고막상 아기들 씻기기 번거로워 안 쓰게 되요백탁현상 있고막상 아기들 씻기기 번거로워 안 쓰게 되요
73,5,아이들이 좋아해요 잘산것 같아요아이들이 좋아해요 잘산것 같아요
74,5,조카 주려고 산 것인데대만족 입니다아이들 것이라 그냥 그렇겠지 했는데케이스부터 쿠션까지 가격도 저렴하고 제품도 대만족다만 뽁뽁이에 싸여 왔으면 박스가 구겨져도 더 안전하게 받조카 주려고 산 것인데대만족 입니다아이들 것이라 그냥 그렇겠지 했는데케이스부터 쿠션까지 가격도 저렴하고 제품도 대만족다만 뽁뽁이에 싸여 왔으면 박스가 구겨져도 더 안전하게 받을 수 있습니다
75,5,배송 짱빨라여 !!!배송 짱빨라여 !!!
76,4,초등딸아이 아주 좋아하네요 많이 두드리는것에 재미 들였네요초등딸아이 아주 좋아하네요 많이 두드리는것에 재미 들였네요
77,5,프리메라 유명하자나요 화장품은 말할것도 없고 빠른배송 감사드려요프리메라 유명하자나요 화장품은 말할것도 없고 빠른배송 감사드려요
78,5,26개월 딸이 쿠션파데를 자꾸 톡톡 바르려고 해서 구입했어요 너무 좋아합니다 발림성도 좋아요26개월 딸이 쿠션파데를 자꾸 톡톡 바르려고 해서 구입했어요 너무 좋아합니다 발림성도 좋아요
79,5,여름에 잘 썻네요 ㅋ 아이들이 스스로 바르니깐 좋아요여름에 잘 썻네요 ㅋ 아이들이 스스로 바르니깐 좋아요
80,5,매년잘쓰는제품이에용저렴히잘샀어요매년잘쓰는제품이에용저렴히잘샀어요
81,5,항상 쓰는 제품이예요 만족합니다항상 쓰는 제품이예요 만족합니다
82,4,얼굴은 좀 하얗게 되네요아직 어려서 클렌징 하기가 힘드네요잘 안 쓰게 되요얼굴은 좀 하얗게 되네요아직 어려서 클렌징 하기가 힘드네요잘 안 쓰게 되요
83,3,바르고 나면 끈적임이 남네요 썬자체가 바르고 나면 하얘지는건 감안하는데 끈적거림이 좀 있어서 그거만 개선되면 좋겠어요바르고 나면 끈적임이 남네요 썬자체가 바르고 나면 하얘지는건 감안하는데 끈적거림이 좀 있어서 그거만 개선되면 좋겠어요
84,5,딸랑구가 완전좋아해요딸랑구가 완전좋아해요
85,5,항상쓰던건데 좋아요!!항상쓰던건데 좋아요!!
86,5,늘 잘 쓰던 제품인데 넘 저렴하게 잘 구매했어요유통기한도 넉넉하고 좋네요늘 잘 쓰던 제품인데 넘 저렴하게 잘 구매했어요유통기한도 넉넉하고 좋네요
87,5,많은 사람들이 추천한 거라 믿고 샀어요쿠션으로 바르는거라 아이가 자기가 직접 발라도 보고 좋아하네요많은 사람들이 추천한 거라 믿고 샀어요쿠션으로 바르는거라 아이가 자기가 직접 발라도 보고 좋아하네요
88,5,귀여벤요다른제품 쓰다가 바꿔봤는데 아직 사용전이긴한데 애기 호기심끌기 성고
89,4,제품잘받았습니다포장도꼼꼼해서좋았어요제품잘받았습니다포장도꼼꼼해서좋았어요
90,4,첫째 아기때도 선물받아 써봤는데 좋아요첫째 아기때도 선물받아 써봤는데 좋아요
91,5,아이친구생선입ㅂㄴ디ㅏ구입니다 아이친구생선입ㅂㄴ디ㅏ구입니다 
92,4,아이가너무좋아해요!아이가너무좋아해요!
93,5,순하고 조아요순하고 조아요
94,5,믿고 사용하는 프리메라 선쿠션 저자극이라서 좋아요!믿고 사용하는 프리메라 선쿠션 저자극이라서 좋아요!
95,5,아이피부에 문제 없이 잘 쓰고 있어요아이피부에 문제 없이 잘 쓰고 있어요
96,5,쓰던 제품이라 주문했어요쓰던 제품이라 주문했어요
97,5,배송빠르고 싸게 잘샀어요배송빠르고 싸게 잘샀어요
98,5,엄마 쿠션 따라하는게 귀여워서 구매했어요거울보며 스스로 바르는 모습이 너무 귀여워요엄마 쿠션 따라하는게 귀여워서 구매했어요거울보며 스스로 바르는 모습이 너무 귀여워요
99,5,좋아요  좋아요 좋아요  좋아요 
100,5,프리메라 썬쿠션은 워낙 좋은평가가 많아서 믿고샀어요 무기자차성분이라 백탁은 좀 있지만 아이들이 쓰는거라 괜찮더라구요프리메라 썬쿠션은 워낙 좋은평가가 많아서 믿고샀어요 무기자차성분이라 백탁은 좀 있지만 아이들이 쓰는거라 괜찮더라구요
101,5,감사합니다만족합니다감사합니다만족합니다
102,4,배송 빠르구 좋아요프리메라 베이비 클렌징티슈랑 같이 사용하고 있어요배송 빠르구 좋아요프리메라 베이비 클렌징티슈랑 같이 사용하고 있어요
103,4,아이가 직접골라 사달라하여 샀어요아직까지는 괜찮다하내여아이가 직접골라 사달라하여 샀어요아직까지는 괜찮다하내여
104,4,흠좋긴한데 용량이 좀아쉽긴해요 많이 안써서 괜찮아요흠좋긴한데 용량이 좀아쉽긴해요 많이 안써서 괜찮아요
105,4,감사합니다  잘 받았습니다감사합니다  잘 받았습니다
106,5,오프라인보다 가격이 저렴해서 2개 구입했습니다오프라인보다 가격이 저렴해서 2개 구입했습니다
107,5,아이  어릴때부터  사용하던  제품이에요아이  어릴때부터  사용하던  제품이에요
108,5,향도 순하고 촉촉한 편이고 좋네요향도 순하고 촉촉한 편이고 좋네요
109,5,아이가 스스로바르려고하네요아이가 스스로바르려고하네요
110,4,백탁현상은 조금 있지만 나쁘지않아요 5살딸아이 엄마화장할때 옆에서 같이 톡톡하니 정말 좋아하네요백탁현상은 조금 있지만 나쁘지않아요 5살딸아이 엄마화장할때 옆에서 같이 톡톡하니 정말 좋아하네요
111,3,좋아요아가들 쓰는 다른 상품처럼 워셔블이 아니라서 쉽게 지워지지는 않지만 톡톡 발라주기 편해요
112,5,선크림 안바르려고 하던 우리 아가 프리메라 받고 혼자서 열심히 발라요선크림 안바르려고 하던 우리 아가 프리메라 받고 혼자서 열심히 발라요
113,4,좋아요초등딸아이 매장에서 추천받아 쓰고 두번째입니다어린아이가 사용할 제품이라 순한걸로 구입요
114,5,가볍고 퍼프형식이라 바르기편할거같아요가볍고 퍼프형식이라 바르기편할거같아요
115,5,톡톡 발라주니 편하고 좋아요톡톡 발라주니 편하고 좋아요
116,4,케이스가예쁘네요 좋아요케이스가예쁘네요 좋아요
117,5,최고에어 매우저렴합니다최고에어 매우저렴합니다
118,5,배송이 많이 빨랐어요배송이 많이 빨랐어요
119,5,아이가 바르기 좋아요아이가 바르기 좋아요
120,5,사진과 같습니당사진과 같습니당
121,5,최고예요프리메라를 이가격에이제 이제품만 쓸것같아요아이들한테 너무 좋아요
122,5,프리메라 베이비 선쿠션 본품15g선택 베이비 선쿠션프리메라 베이비 선쿠션 본품15g선택 베이비 선쿠션
123,3,임신중이라 유해요소가 적다고해서 구입해보았습니다 후기임신중이라 유해요소가 적다고해서 구입해보았습니다 후기를 살펴보니 백탁은 어쩔 수 없이 있다고하는데 가만하고 사용하려구요
124,5,배송도 빠르고 좋아요애들이 스스로 바르니깐 더 좋네요배송도 빠르고 좋아요애들이 스스로 바르니깐 더 좋네요
125,5,아아들이 썬크림 바르는거 안 좋아하는데 엄마 화장품같은지 바르면서 재미있어 하네요아아들이 썬크림 바르는거 안 좋아하는데 엄마 화장품같은지 바르면서 재미있어 하네요
126,5,조카 선물로 구매햇는데 케이스도 기엽구 잘쓸께욤조카 선물로 구매햇는데 케이스도 기엽구 잘쓸께욤
127,4,성분 순하대서 사봐요 애가 이쁘다고 좋아해요성분 순하대서 사봐요 애가 이쁘다고 좋아해요
128,5,상품좋아요  저렴한 가격에 득템상품좋아요  저렴한 가격에 득템
129,5,유통기한 넉넉해서 좋아요유통기한 넉넉해서 좋아요
130,4,애들이 스스로 바르기 좋아요저희딸 아침에 열심히 바르고 등원합니당애들이 스스로 바르기 좋아요저희딸 아침에 열심히 바르고 등원합니당
131,4,딸들이 좋아해요딸들이 좋아해요
132,4,가격이좋습니다가격이좋습니다가격이좋습니다가격이좋습니다
133,5,배송 정말빠르네요 주말에 선물할꺼라 늦으면안됐는데 다음날바로 도착해서 정말 맘편했어요배송 정말빠르네요 주말에 선물할꺼라 늦으면안됐는데 다음날바로 도착해서 정말 맘편했어요
134,4,19개월 아기가 스스로 하려고 하네요 백탁 현상이 잇긴하지만 잘 써요크림제형보다 훨 편해요19개월 아기가 스스로 하려고 하네요 백탁 현상이 잇긴하지만 잘 써요크림제형보다 훨 편해요
135,5,아이들 선크림 바르는거 싫어하는데쿠션 두드려 주면 좋아 할 것 같아요아이들 선크림 바르는거 싫어하는데쿠션 두드려 주면 좋아 할 것 같아요
136,4,바르면 생각보다 많이 하얗게 됩니다 그외에는 좋아요바르면 생각보다 많이 하얗게 됩니다 그외에는 좋아요
137,4,피부에도 잘맞고 아이들 이제품만 쓰고 있어요피부에도 잘맞고 아이들 이제품만 쓰고 있어요
138,5,우리애가 너무만족해합니다좋아요우리애가 너무만족해합니다좋아요
139,5,아이가 골랏어요좋네요아이가 골랏어요좋네요
140,5,프리메라 베이비 선쿠션 15g 본품 NEW베이비 선쿠션 본품프리메라 베이비 선쿠션 15g 본품 NEW베이비 선쿠션 본품
141,4,지울 때 좀 신경써서 지워야 해요그냥 세수시키면 하얀 게 잘 안 없어져서클렌징 티슈로 한 번 닦고 세수시키네요지울 때 좀 신경써서 지워야 해요그냥 세수시키면 하얀 게 잘 안 없어져서클렌징 티슈로 한 번 닦고 세수시키네요
142,5,아이가 너무 좋아하고 스스로도 잘해요 역시 팩트형 사기 잘한거 같아요아이가 너무 좋아하고 스스로도 잘해요 역시 팩트형 사기 잘한거 같아요
143,5,잘 안발리는 느낌이긴한데 다른 트러블 없이 잘 발라줬어요!잘 안발리는 느낌이긴한데 다른 트러블 없이 잘 발라줬어요!
144,5,우리 딸 너무 좋아하고 발림도 괜찬아요잘쓰겠습니다우리 딸 너무 좋아하고 발림도 괜찬아요잘쓰겠습니다
145,5,좋아요 아이가좋아해요좋아요 아이가좋아해요
146,4,항상  쓰던 제품이예요아이가 너무 좋아해요항상  쓰던 제품이예요아이가 너무 좋아해요
147,5,제가발라봣는대 광이나요 추천합니다제가발라봣는대 광이나요 추천합니다
148,5,네 쓰기편하고 믿을수있어서 좋아요네 쓰기편하고 믿을수있어서 좋아요
149,5,케이스도 이쁘고 잘발리는거같아요케이스도 이쁘고 잘발리는거같아요
150,5,딸이 사용하는데 좋다고하네요딸이 사용하는데 좋다고하네요
151,5,아기 너무 좋아요 상품 예뻐요아기 너무 좋아요 상품 예뻐요
152,4,좋은것같아요 조은거같애요좋은것같아요 조은거같애요
153,5,총알배송 완전 감사해요총알배송 완전 감사해요
154,5,아들이 너무 좋아합니다아들이 너무 좋아합니다
