,평점,본문
67,4,향이 좀 이상하지만 아이가 좋아해요향이 좀 이상하지만 아이가 좋아해요
68,3,아이들이 귀엽다고 좋아하더라구요아이들이 귀엽다고 좋아하더라구요
69,5,아이가 넘좋아하네요 맘에들어ㅛ아이가 넘좋아하네요 맘에들어ㅛ
70,5,조슴씩 알맞게 나오니까 좋아요조슴씩 알맞게 나오니까 좋아요
71,5,아이가 너무 좋아합니다아이가 너무 좋아합니다
72,5,사은품도 많고 조아요 ㅎ사은품도 많고 조아요 ㅎ
73,5,아이들이 좋아합니다아이들이 좋아합니다
74,5,아이가 너무좋아해요아이가 너무좋아해요
75,5,자매님들이 정말 애정하고 계십니다씻고나면 보내주신 로션샘플만 바르구요ㅎ자매님들이 정말 애정하고 계십니다씻고나면 보내주신 로션샘플만 바르구요ㅎ
76,4,피부가 뽀송뽀송해집니다피부가 뽀송뽀송해집니다
77,4,아토팜 유명하지요디자인은 귀욥네요잘 써볼께요아토팜 유명하지요디자인은 귀욥네요잘 써볼께요
78,4,캐이스도 깜찍하고 촉촉하니 좋아요캐이스도 깜찍하고 촉촉하니 좋아요
79,5,샘플을 많이 주셔서 깜짝 놀랐어요샘플을 많이 주셔서 깜짝 놀랐어요
80,5,제품꼼꼼 빠른배송 샘플듬뿍감사합니다초등학생 어린이날선물 준비해습니다제품꼼꼼 빠른배송 샘플듬뿍감사합니다초등학생 어린이날선물 준비해습니다
81,5,퍼프빨기 힘들어서 결국은 손으퍼프빨기 힘들어서 결국은 손으로 바르고 있지만 아이가 재밌어하고 선크림바르는걸 좋아해서 만족입니다
82,5,케이스도 이쁘고 너무 흡수되는거 같아요케이스도 이쁘고 너무 흡수되는거 같아요
83,5,편리해요 좋아요 부담없어요편리해요 좋아요 부담없어요
84,5,만족합니다 케이스예뻐요만족합니다 케이스예뻐요
85,5,아이가 너무 좋아하네요 진작에 사줄껄 그랬네요아이가 너무 좋아하네요 진작에 사줄껄 그랬네요
86,5,너무 좋아해여  아이가 항상 지너무 좋아해여아이가 항상 지니고 다닙니다 분홍케이스도 있기를
87,5,아이들이 사용하고 트러블 없어서 재구매항아이들이 사용하고 트러블 없어서 재구매항
88,5,아이가 너무 좋아해요 트러블도 없고아이가 너무 좋아해요 트러블도 없고
89,4,배송빠르고 아이가 귀엽다고 좋아해요배송빠르고 아이가 귀엽다고 좋아해요
90,4,아이가 좋아해서 이거로 골랐어요아이가 좋아해서 이거로 골랐어요
91,5,조카선물로 저렴하게 구입했네요조카선물로 저렴하게 구입했네요
92,4,갠찮아요 잘 쓸게요 많이 파세요갠찮아요 잘 쓸게요 많이 파세요
93,5,열살 딸아이가 너무 좋아합니다열살 딸아이가 너무 좋아합니다이제 스스로 꼼꼼히 바릅니다
94,4,아이 친구꺼 빌려서보고사달라해서 시줬습니다빠른배송 고맙습니다아이 친구꺼 빌려서보고사달라해서 시줬습니다빠른배송 고맙습니다
95,5,모자도 안 쓰고 딸이 돌아댕겨서  너무 피부가 탔어요걱정이 되서 사줬더니 ㅡ 혼자서도 잘 발라요모자도 안 쓰고 딸이 돌아댕겨서  너무 피부가 탔어요걱정이 되서 사줬더니 ㅡ 혼자서도 잘 발라요
96,5,화학적 차단제는 트러블이 있어화학적 차단제는 트러블이 있어서 이 상품으로 구매했습니다약간 톤 업도 되고 비교적 뭉침도 적어 좋습니다
97,5,사용하기 편하고 초등학생딸이 잘쓰고있어요사용하기 편하고 초등학생딸이 잘쓰고있어요
98,5,선크림 발라주는데 좀더 순응도선크림 발라주는데 좀더 순응도가 좋아요
99,5,배송도빠르고 아이들이너무좋아합니다배송도빠르고 아이들이너무좋아합니다
100,5,애기용이라 비교하며 삿어요ㅠ좋애기용이라 비교하며 삿어요ㅠ좋내용
101,4,배송은 조금 느렷지만 애들이 좋아하네요본인들이 톡톡 바르고 다녀요배송은 조금 느렷지만 애들이 좋아하네요본인들이 톡톡 바르고 다녀요
102,5,아기가너무좋아하네요아기가너무좋아하네요
103,4,배송도 괜찮았구여름마다 이제품 쓰고있구요둘째가 이번엔 사달라고 했어요ㅋㅋ아이들이 캐릭터 귀엽다고 넘좋아해요잘쓰고있어요번창하세요배송도 괜찮았구여름마다 이제품 쓰고있구요둘째가 이번엔 사달라고 했어요ㅋㅋ아이들이 캐릭터 귀엽다고 넘좋아해요잘쓰고있어요번창하세요
104,5,아이가 너무 좋아했어요 펌핑 스탈인데 아이가 잘 펴바르지는 못해요 6살아이가 너무 좋아했어요 펌핑 스탈인데 아이가 잘 펴바르지는 못해요 6살
105,5,쿠션팩트인줄알고 열려고 애썼네요 ㅎㅎ누르면 한방울씩 나오는 시스템위생적이고 좋을것같네요썬크림사고 덧바를때 쓰려고 샀어요쿠션팩트인줄알고 열려고 애썼네요 ㅎㅎ누르면 한방울씩 나오는 시스템위생적이고 좋을것같네요썬크림사고 덧바를때 쓰려고 샀어요
106,5,아이들 10개 대량구매해서 선물로 주었어요만족해요아이들 10개 대량구매해서 선물로 주었어요만족해요
107,5,아이가 갖고싶어한 제품이에요최근제조일자 제품과 사은품까지 잘받았어요
108,5,여자아이가 톡톡 혼자 바르기 좋습니다여자아이가 톡톡 혼자 바르기 좋습니다
109,4,순하고 잘지워져요색도 이뻐요순하고 잘지워져요색도 이뻐요
110,5,빠른배송늬므ㅡ즈ㅡㅎ아요빠른배송늬므ㅡ즈ㅡㅎ아요
111,4,배송늦는거빼곤 다 좋아용배송늦는거빼곤 다 좋아용
112,5,아이에게 쓰려고 샀어요!!아이에게 쓰려고 샀어요!!
113,5,아직안써봐서 모르겠어요
114,5,만족합니다 좋으네요만족합니다 좋으네요
115,5,좋아요!!! 잘 샀어요좋아요!!! 잘 샀어요
116,5,잘 사용하고 있어요잘 사용하고 있어요
117,5,아이가너무좋아해요 잘발리고끈아이가너무좋아해요 잘발리고끈적임없어좋아요
118,5,아직 사용전이예요 성분 좋다고 아직 사용전이예요성분 좋다고 해서 샀어요샘플도 넣어주셔서 너무 좋네요감사합니다
119,4,잘 받았어요아이 두명거 주문했어요작년거 다써서 이번엔 아토팜 주문했어요로션크림거 원래 아토팜 쓰고 있어서선크림도 아토팜으로 정착하려구요사은품도 마음에 들어요마침 필요했던건데 여름내내 잘 쓰겠네요
120,5,4살 딸아이 선팩트를 처음 사보4살 딸아이 선팩트를 처음 사보네요괜찮으면 다시 구입할게요
