,평점,본문
48,5,늘 쓰던 상품이라서 만족합니다11으로 잘 샀어요사은품으로 주신 바디워시랑 바디로션 샘플 잘 쓸게요!늘 쓰던 상품이라서 만족합니다11으로 잘 샀어요사은품으로 주신 바디워시랑 바디로션 샘플 잘 쓸게요!
49,5,좋아여 가을 겨울에 항상쓰는거 ㅎ좋아여 가을 겨울에 항상쓰는거 ㅎ
50,5,아이랑 쓰기 좋은거같아요아이랑 쓰기 좋은거같아요
51,5,썬크림 코로나덕분에 썬크림만 바르는데 딸이 쓰던거 괜찮아서 주문했는데 역시나 계속 사용해도 참 좋으네요썬크림 코로나덕분에 썬크림만 바르는데 딸이 쓰던거 괜찮아서 주문했는데 역시나 계속 사용해도 참 좋으네요
52,5,잘쓰겠습니다잘쓰겠습니다
53,5,백탁이 좀 있지만 괜찮음 실수로 눈에 조금 들어가도 막 따갑지 않아서 좋음백탁이 좀 있지만 괜찮음 실수로 눈에 조금 들어가도 막 따갑지 않아서 좋음
54,5,재구매입니다재구매입니다
55,5,배송짱빨라요임산부쓸수있어서 좋지만수치가 낮아서 계속덧발라줘야할것같아요배송짱빨라요임산부쓸수있어서 좋지만수치가 낮아서 계속덧발라줘야할것같아요
56,5,잘쓸께요잘쓸께요
57,5,백탁은 아주살짝 있고 마무리감 백탁은 아주살짝 있고 마무리감 좋네요 향도 순해요
58,5,늘쓰던거라좋아요 싸게잘샀어요늘쓰던거라좋아요 싸게잘샀어요
59,4,피부 톤이 뽀샤시해지고 좋아요피부 톤이 뽀샤시해지고 좋아요
60,5,잘 쓸게요잘 쓸게요
61,5,용량이작아서매일쓰니용량이작아서매일쓰니가성비좋고 여러개사시는거추천요
62,5,트러블도 안나고 순하고 좋아요 !!트러블도 안나고 순하고 좋아요 !!
63,5,순해서 트러블이 전혀 안나서좋습니다순해서 트러블이 전혀 안나서좋습니다
64,5,좋아요 재구매의사 있습니다좋아요 재구매의사 있습니다
65,5,쭉 써왔어요 ! 너무 좋습니다 쭉 써왔어요 ! 너무 좋습니다 
66,5,항상 쓰던 제품을 11에 사서 더 좋아요 성분이 좋아서 믿고 쓰는 제품입니다항상 쓰던 제품을 11에 사서 더 좋아요 성분이 좋아서 믿고 쓰는 제품입니다
67,5,너무 끈적이지도 않고 건조하지도 않아서 좋았어요 백탁현상이 있습니다너무 끈적이지도 않고 건조하지도 않아서 좋았어요 백탁현상이 있습니다
68,4,그런대로 사용중입니다그런대로 사용중입니다
69,5,늘 구매하는거예요늘 구매하는거예요
