,date
1100,2020
1101,2020
1102,2016
1103,2020
1104,2016
1105,2017
1106,2020
1107,2020
1108,2020
1109,2016
1110,2017
1111,2018
1112,2016
1113,2020
1114,2020
1115,2019
1116,2020
1117,2019
1118,2017
1119,2020
1120,2020
1121,2018
1122,2017
1123,2020
1124,2020
1125,2016
1126,2020
1127,2017
1128,2018
1129,2016
1130,2017
1131,2018
1132,2018
1133,2020
1134,2018
1135,2020
1136,2018
1137,2019
1138,2018
1139,2018
1140,2020
1141,2017
1142,2018
1143,2019
1144,2017
1145,2017
1146,2018
1147,2018
1148,2018
1149,2018
1150,2018
1151,2018
1152,2018
1153,2019
1154,2020
1155,2017
1156,2018
1157,2018
1158,2018
1159,2017
1160,2017
1161,2016
1162,2016
1163,2019
1164,2017
1165,2018
1166,2016
1167,2016
1168,2017
1169,2017
1170,2017
1171,2018
1172,2019
1173,2018
1174,2020
1175,2017
1176,2016
1177,2020
1178,2021
1179,2017
1180,2018
1181,2020
1182,2017
1183,2016
1184,2020
1185,2017
1186,2018
1187,2017
1188,2019
1189,2019
1190,2017
1191,2020
1192,2019
1193,2016
1194,2017
1195,2017
1196,2020
1197,2016
1198,2020
1199,2020
1200,2019
1201,2021
1202,2017
1203,2020
1204,2020
1205,2016
1206,2017
1207,2020
1208,2017
1209,2019
1210,2017
1211,2017
1212,2016
1213,2017
1214,2016
1215,2019
1216,2020
1217,2019
1218,2017
1219,2020
1220,2020
1221,2017
1222,2016
1223,2019
1224,2020
1225,2019
1226,2017
1227,2019
1228,2020
1229,2016
1230,2016
1231,2018
1232,2020
1233,2016
1234,2021
1235,2016
1236,2016
1237,2020
1238,2019
1239,2016
1240,2017
1241,2018
1242,2019
1243,2019
1244,2017
1245,2018
1246,2018
1247,2018
1248,2016
1249,2017
1250,2017
1251,2020
1252,2020
1253,2016
1254,2016
1255,2016
1256,2017
1257,2020
1258,2016
1259,2018
1260,2016
1261,2016
1262,2018
1263,2018
1264,2019
1265,2016
1266,2020
1267,2020
1268,2018
1269,2017
1270,2020
1271,2016
1272,2018
1273,2018
1274,2017
1275,2018
1276,2020
1277,2017
1278,2017
1279,2020
1280,2019
1281,2020
1282,2018
1283,2017
1284,2019
1285,2017
1286,2020
1287,2017
1288,2018
1289,2018
1290,2018
1291,2018
1292,2018
1293,2017
1294,2019
1295,2019
1296,2021
1297,2017
1298,2019
1299,2020
1300,2019
1301,2018
1302,2017
1303,2019
1304,2020
1305,2019
1306,2018
1307,2019
1308,2020
1309,2017
1310,2020
1311,2018
1312,2018
1313,2017
1314,2018
1315,2019
1316,2018
1317,2016
1318,2017
1319,2018
1320,2020
1321,2021
1322,2016
1323,2016
1324,2016
1325,2018
1326,2020
1327,2017
1328,2020
1329,2016
1330,2019
1331,2016
1332,2019
1333,2017
1334,2020
1335,2019
