,date
1703,2019
1704,2019
1705,2019
1706,2016
1707,2021
1708,2019
1709,2021
1710,2019
1711,2019
1712,2018
1713,2019
1714,2021
1715,2018
1716,2018
1717,2019
1718,2020
1719,2016
1720,2019
1721,2019
1722,2019
1723,2018
1724,2016
1725,2016
1726,2018
1727,2019
1728,2020
1729,2019
1730,2018
1731,2017
1732,2019
1733,2019
1734,2019
1735,2016
1736,2016
1737,2021
1738,2017
1739,2020
1740,2021
1741,2019
1742,2019
1743,2019
1744,2017
1745,2020
1746,2019
1747,2020
1748,2019
1749,2017
1750,2019
1751,2016
1752,2019
1753,2016
1754,2019
1755,2021
1756,2020
1757,2020
1758,2017
1759,2017
1760,2020
1761,2019
1762,2019
1763,2019
1764,2018
1765,2019
1766,2020
1767,2020
1768,2019
1769,2019
1770,2020
1771,2019
1772,2019
1773,2019
1774,2019
1775,2019
1776,2018
1777,2018
1778,2020
1779,2019
1780,2019
1781,2020
1782,2018
1783,2016
1784,2020
1785,2020
1786,2019
1787,2020
1788,2016
1789,2020
1790,2018
1791,2016
1792,2017
1793,2019
1794,2020
1795,2019
1796,2017
1797,2016
1798,2018
1799,2019
1800,2016
1801,2019
1802,2019
1803,2018
1804,2017
1805,2020
1806,2020
1807,2020
1808,2017
1809,2020
1810,2016
1811,2019
1812,2020
1813,2019
1814,2020
1815,2020
1816,2016
1817,2017
1818,2020
1819,2018
1820,2020
1821,2019
1822,2020
1823,2016
1824,2017
1825,2017
1826,2017
1827,2020
1828,2020
1829,2016
1830,2016
1831,2020
1832,2020
1833,2020
1834,2020
1835,2019
1836,2016
1837,2016
1838,2019
1839,2016
1840,2019
1841,2016
1842,2020
1843,2020
1844,2020
1845,2017
1846,2018
1847,2020
1848,2019
1849,2020
1850,2019
1851,2020
1852,2020
1853,2020
1854,2020
1855,2020
1856,2020
1857,2020
1858,2019
1859,2019
1860,2020
1861,2020
1862,2018
1863,2017
1864,2020
1865,2018
1866,2018
1867,2017
1868,2018
1869,2019
1870,2017
1871,2018
1872,2020
1873,2020
1874,2018
1875,2020
1876,2020
1877,2020
1878,2019
1879,2016
1880,2020
1881,2020
1882,2020
1883,2020
1884,2020
1885,2016
1886,2019
1887,2020
1888,2020
1889,2019
1890,2020
1891,2019
1892,2018
1893,2020
1894,2020
1895,2019
1896,2020
1897,2019
1898,2020
1899,2019
1900,2020
1901,2019
1902,2020
1903,2020
1904,2020
1905,2020
1906,2020
1907,2020
1908,2018
1909,2020
1910,2020
1911,2020
1912,2020
1913,2020
1914,2020
1915,2020
1916,2017
1917,2020
1918,2019
1919,2020
1920,2020
1921,2020
1922,2020
1923,2020
1924,2019
1925,2020
1926,2020
1927,2020
1928,2016
1929,2020
1930,2020
1931,2020
1932,2019
1933,2017
1934,2020
1935,2020
1936,2020
1937,2019
1938,2020
1939,2019
1940,2020
1941,2018
1942,2020
1943,2020
1944,2017
1945,2018
1946,2020
1947,2020
1948,2020
1949,2020
1950,2020
1951,2017
1952,2019
1953,2019
1954,2019
1955,2016
1956,2020
1957,2020
1958,2019
1959,2016
1960,2020
1961,2018
1962,2018
1963,2019
1964,2020
1965,2020
1966,2019
1967,2020
1968,2020
1969,2017
1970,2019
1971,2020
1972,2018
1973,2018
1974,2019
1975,2019
1976,2019
1977,2018
1978,2019
1979,2020
1980,2020
1981,2020
1982,2020
1983,2018
1984,2020
1985,2016
1986,2019
1987,2017
1988,2020
1989,2017
1990,2020
1991,2018
1992,2019
1993,2020
1994,2016
1995,2020
1996,2019
1997,2019
1998,2019
1999,2020
2000,2020
2001,2019
2002,2020
2003,2018
2004,2020
