,date
1298,2019
1299,2018
1300,2018
1301,2018
1302,2019
1303,2019
1304,2017
1305,2018
1306,2018
1307,2017
1308,2018
1309,2016
1310,2018
1311,2020
1312,2016
1313,2019
1314,2018
1315,2018
1316,2018
1317,2017
1318,2016
1319,2018
1320,2018
1321,2016
1322,2019
1323,2018
1324,2019
1325,2019
1326,2017
1327,2018
1328,2018
1329,2018
1330,2019
1331,2017
1332,2016
1333,2018
1334,2017
1335,2018
1336,2018
1337,2018
1338,2018
1339,2018
1340,2018
1341,2018
1342,2018
1343,2018
1344,2017
1345,2018
1346,2017
1347,2016
1348,2019
1349,2018
1350,2018
1351,2018
1352,2018
1353,2017
1354,2016
1355,2020
1356,2018
1357,2018
1358,2018
1359,2018
1360,2017
1361,2018
1362,2016
1363,2018
1364,2018
1365,2017
1366,2018
1367,2016
1368,2016
1369,2017
1370,2016
1371,2018
1372,2018
1373,2019
1374,2018
1375,2018
1376,2016
1377,2019
1378,2019
1379,2018
1380,2016
1381,2019
1382,2018
1383,2018
1384,2019
1385,2018
1386,2016
1387,2019
1388,2018
1389,2018
1390,2019
1391,2016
1392,2016
1393,2017
1394,2016
1395,2017
1396,2019
1397,2018
1398,2018
1399,2017
1400,2017
1401,2018
1402,2017
1403,2017
1404,2017
1405,2017
1406,2018
1407,2016
1408,2016
1409,2018
1410,2018
1411,2017
1412,2019
1413,2017
1414,2020
1415,2017
1416,2018
1417,2020
1418,2018
1419,2016
1420,2018
1421,2018
1422,2017
1423,2018
1424,2016
1425,2017
1426,2017
1427,2017
1428,2018
1429,2017
1430,2018
1431,2016
1432,2017
1433,2016
1434,2016
1435,2017
1436,2018
1437,2016
1438,2018
1439,2016
1440,2018
1441,2017
1442,2019
1443,2016
1444,2017
1445,2018
1446,2017
1447,2018
1448,2017
1449,2018
1450,2018
1451,2017
1452,2016
1453,2020
1454,2016
1455,2019
1456,2017
1457,2016
1458,2018
1459,2020
1460,2017
1461,2020
1462,2016
1463,2017
1464,2018
1465,2018
1466,2017
1467,2018
1468,2017
1469,2018
1470,2017
1471,2019
1472,2016
1473,2016
1474,2017
1475,2018
1476,2017
1477,2017
1478,2016
1479,2017
1480,2020
1481,2018
1482,2018
1483,2016
1484,2017
1485,2019
1486,2016
1487,2017
1488,2018
1489,2018
1490,2017
1491,2017
1492,2016
1493,2017
1494,2018
1495,2016
1496,2017
1497,2018
1498,2016
1499,2016
1500,2017
1501,2017
1502,2017
1503,2017
1504,2017
1505,2017
1506,2017
1507,2017
1508,2017
1509,2018
1510,2018
1511,2018
1512,2017
1513,2016
1514,2017
1515,2017
1516,2017
1517,2017
1518,2018
1519,2019
1520,2016
1521,2017
1522,2017
1523,2016
1524,2017
1525,2017
1526,2018
1527,2017
1528,2018
1529,2018
1530,2018
1531,2017
1532,2017
1533,2018
1534,2017
1535,2018
1536,2017
1537,2018
1538,2017
1539,2016
1540,2020
1541,2017
1542,2017
1543,2018
1544,2018
1545,2017
1546,2018
1547,2017
1548,2018
1549,2018
1550,2017
1551,2018
1552,2016
1553,2017
1554,2017
1555,2017
1556,2016
1557,2017
1558,2017
1559,2017
1560,2020
1561,2018
1562,2018
1563,2018
1564,2017
1565,2020
1566,2016
1567,2017
1568,2019
1569,2017
1570,2016
1571,2016
1572,2017
1573,2017
1574,2017
1575,2019
1576,2017
1577,2018
1578,2017
1579,2019
1580,2016
1581,2017
1582,2018
1583,2016
1584,2018
1585,2017
1586,2017
1587,2017
1588,2016
1589,2017
1590,2017
1591,2019
1592,2021
1593,2017
1594,2018
1595,2017
1596,2018
1597,2016
1598,2017
1599,2018
1600,2017
1601,2017
1602,2017
1603,2018
1604,2017
1605,2017
1606,2018
1607,2018
1608,2018
1609,2016
1610,2016
1611,2016
1612,2017
1613,2018
1614,2016
1615,2017
1616,2018
1617,2018
1618,2017
1619,2016
1620,2016
1621,2017
1622,2017
1623,2017
1624,2017
1625,2017
1626,2017
1627,2017
1628,2017
1629,2016
1630,2017
1631,2020
1632,2018
1633,2016
1634,2018
1635,2017
1636,2016
1637,2017
1638,2016
1639,2017
1640,2017
1641,2018
1642,2017
1643,2017
1644,2018
1645,2017
1646,2017
1647,2017
1648,2016
1649,2018
1650,2017
1651,2017
1652,2016
1653,2017
1654,2018
1655,2016
1656,2016
1657,2017
1658,2016
1659,2016
1660,2017
1661,2017
1662,2020
1663,2016
1664,2017
1665,2016
1666,2018
1667,2016
1668,2019
1669,2018
1670,2017
1671,2019
1672,2018
1673,2016
1674,2017
1675,2018
1676,2016
1677,2016
1678,2016
1679,2016
1680,2017
1681,2016
1682,2020
1683,2019
1684,2018
1685,2016
1686,2016
1687,2016
1688,2018
1689,2016
1690,2017
1691,2016
1692,2016
1693,2017
1694,2017
1695,2016
1696,2017
1697,2017
1698,2016
1699,2016
1700,2016
1701,2017
1702,2017
1703,2017
1704,2016
1705,2017
1706,2018
1707,2017
1708,2017
1709,2017
1710,2017
1711,2018
1712,2017
1713,2016
1714,2017
1715,2017
1716,2018
1717,2016
1718,2017
1719,2016
1720,2016
1721,2020
1722,2017
1723,2017
1724,2017
1725,2017
1726,2017
1727,2019
1728,2019
1729,2016
1730,2020
1731,2017
1732,2016
1733,2017
1734,2018
1735,2017
1736,2020
1737,2017
1738,2016
1739,2017
1740,2017
1741,2016
1742,2017
1743,2016
1744,2017
1745,2018
1746,2021
1747,2016
1748,2021
1749,2019
1750,2017
1751,2017
1752,2017
1753,2016
1754,2017
1755,2017
1756,2017
1757,2016
1758,2018
1759,2016
1760,2017
1761,2016
1762,2017
1763,2017
1764,2016
1765,2016
1766,2016
1767,2018
1768,2017
1769,2016
1770,2017
1771,2016
1772,2017
1773,2017
1774,2017
1775,2017
1776,2017
1777,2016
1778,2018
1779,2017
1780,2017
1781,2017
1782,2017
1783,2016
1784,2016
1785,2017
1786,2016
1787,2016
1788,2017
1789,2016
1790,2017
1791,2018
1792,2018
1793,2016
1794,2017
1795,2017
1796,2020
1797,2016
1798,2017
1799,2016
1800,2016
1801,2016
1802,2016
1803,2018
1804,2017
1805,2017
1806,2017
1807,2018
1808,2017
1809,2016
1810,2018
1811,2017
1812,2017
1813,2017
1814,2016
1815,2017
1816,2016
1817,2017
1818,2016
1819,2016
1820,2016
1821,2017
1822,2017
1823,2016
1824,2017
1825,2016
1826,2017
1827,2016
1828,2016
1829,2018
1830,2017
1831,2017
1832,2017
1833,2018
1834,2017
1835,2016
1836,2018
1837,2017
1838,2017
1839,2017
1840,2019
1841,2019
1842,2019
1843,2016
1844,2016
1845,2017
1846,2016
1847,2016
1848,2020
1849,2016
1850,2018
1851,2018
1852,2018
1853,2016
1854,2017
1855,2017
1856,2016
1857,2016
1858,2017
1859,2019
1860,2016
1861,2018
1862,2017
1863,2017
1864,2017
1865,2016
1866,2020
1867,2018
1868,2016
1869,2018
1870,2016
1871,2017
1872,2018
1873,2018
1874,2016
1875,2017
1876,2018
1877,2018
1878,2017
1879,2017
1880,2016
1881,2017
1882,2017
1883,2017
1884,2017
1885,2016
1886,2017
1887,2017
1888,2017
1889,2020
1890,2016
1891,2017
1892,2016
1893,2017
1894,2018
1895,2016
1896,2016
1897,2016
1898,2016
1899,2018
1900,2016
1901,2016
1902,2017
1903,2017
1904,2018
1905,2018
1906,2017
1907,2017
1908,2016
1909,2020
1910,2017
1911,2017
1912,2016
1913,2016
1914,2016
1915,2016
1916,2016
1917,2017
1918,2016
1919,2016
1920,2017
1921,2017
1922,2017
1923,2016
1924,2016
1925,2019
1926,2018
1927,2019
1928,2019
1929,2016
1930,2016
1931,2020
1932,2021
1933,2019
1934,2016
1935,2017
1936,2019
1937,2017
1938,2016
1939,2018
1940,2016
1941,2018
1942,2016
1943,2016
1944,2016
1945,2017
1946,2016
1947,2017
1948,2016
1949,2018
1950,2017
1951,2016
1952,2017
1953,2021
1954,2018
1955,2016
1956,2016
1957,2017
1958,2016
1959,2017
1960,2017
1961,2016
1962,2018
1963,2017
1964,2016
1965,2017
1966,2017
1967,2018
1968,2018
1969,2017
1970,2018
1971,2016
1972,2016
1973,2017
1974,2016
1975,2017
1976,2016
1977,2017
1978,2016
1979,2016
1980,2016
1981,2016
1982,2017
1983,2018
1984,2016
1985,2018
1986,2017
1987,2016
1988,2018
1989,2018
1990,2017
1991,2016
1992,2016
1993,2016
1994,2018
1995,2018
1996,2021
1997,2019
1998,2017
1999,2017
2000,2017
2001,2016
2002,2016
2003,2017
2004,2017
2005,2018
2006,2017
2007,2017
2008,2017
2009,2017
2010,2016
2011,2016
2012,2017
2013,2016
2014,2017
2015,2016
2016,2018
2017,2016
2018,2019
2019,2016
2020,2016
2021,2017
2022,2017
2023,2016
2024,2016
2025,2020
2026,2016
2027,2019
2028,2017
2029,2016
2030,2016
2031,2017
2032,2016
2033,2016
2034,2018
2035,2016
2036,2017
2037,2017
2038,2016
2039,2017
2040,2018
2041,2016
2042,2016
2043,2017
2044,2016
2045,2016
2046,2017
2047,2017
2048,2017
2049,2016
2050,2017
2051,2016
2052,2017
2053,2019
2054,2018
2055,2016
2056,2017
2057,2016
2058,2017
2059,2016
2060,2016
2061,2017
2062,2018
2063,2020
2064,2020
2065,2016
2066,2017
2067,2017
2068,2019
2069,2016
2070,2017
2071,2016
2072,2018
2073,2019
2074,2017
2075,2017
2076,2016
2077,2017
2078,2017
2079,2018
2080,2016
2081,2017
2082,2018
2083,2019
2084,2016
2085,2017
2086,2017
2087,2017
2088,2019
2089,2017
2090,2020
2091,2016
2092,2016
2093,2017
2094,2020
2095,2016
2096,2016
2097,2017
2098,2019
2099,2018
2100,2019
2101,2021
2102,2016
2103,2017
2104,2020
2105,2020
2106,2019
2107,2017
2108,2018
2109,2018
2110,2019
2111,2019
2112,2019
2113,2016
2114,2017
2115,2017
2116,2019
2117,2019
2118,2017
2119,2017
2120,2021
2121,2017
2122,2017
2123,2017
2124,2016
2125,2017
2126,2019
2127,2016
2128,2018
2129,2018
2130,2018
2131,2016
2132,2018
2133,2019
2134,2019
2135,2017
2136,2019
2137,2017
2138,2019
2139,2018
2140,2017
2141,2019
2142,2017
2143,2017
2144,2021
2145,2017
2146,2016
2147,2016
2148,2019
2149,2018
2150,2019
2151,2018
2152,2019
2153,2016
2154,2017
2155,2017
2156,2016
2157,2016
2158,2016
2159,2017
2160,2019
2161,2018
2162,2016
2163,2018
2164,2017
2165,2018
2166,2018
2167,2017
2168,2017
2169,2019
2170,2016
2171,2020
2172,2018
2173,2016
2174,2016
2175,2018
2176,2017
2177,2016
2178,2019
2179,2019
2180,2016
2181,2019
2182,2018
2183,2016
2184,2016
2185,2017
2186,2016
2187,2019
2188,2016
2189,2020
2190,2016
2191,2017
2192,2017
2193,2019
2194,2017
2195,2018
2196,2017
2197,2016
2198,2016
2199,2016
2200,2017
2201,2016
2202,2020
2203,2016
2204,2016
2205,2016
2206,2019
2207,2018
2208,2016
2209,2018
2210,2018
2211,2018
2212,2018
2213,2018
2214,2018
2215,2017
2216,2016
2217,2019
2218,2018
2219,2017
2220,2017
2221,2018
2222,2018
2223,2016
2224,2017
2225,2017
2226,2016
2227,2016
2228,2018
2229,2016
2230,2016
2231,2021
2232,2018
2233,2016
2234,2018
2235,2018
2236,2016
2237,2018
2238,2018
2239,2017
2240,2019
2241,2017
2242,2018
2243,2019
2244,2017
2245,2019
2246,2017
2247,2019
2248,2016
2249,2020
2250,2020
2251,2018
2252,2016
2253,2017
2254,2019
2255,2018
2256,2019
2257,2020
2258,2019
2259,2018
2260,2018
2261,2020
2262,2018
2263,2016
2264,2017
2265,2019
2266,2018
2267,2016
2268,2019
2269,2017
2270,2019
2271,2017
2272,2017
2273,2016
2274,2017
2275,2018
2276,2018
2277,2017
2278,2017
2279,2018
2280,2019
2281,2018
2282,2018
2283,2017
2284,2016
2285,2019
2286,2019
2287,2018
2288,2017
2289,2017
2290,2018
2291,2018
2292,2016
2293,2018
2294,2017
2295,2017
2296,2018
